"station_id","dt","tasmin_f","tasmax_f"
"206",2024-09-01,59.8,91.3
"206",2024-09-02,57.1,88.7
"206",2024-09-03,57.4,93.6
"206",2024-09-04,61.1,101.3
"206",2024-09-05,63.3,98.3
"206",2024-09-06,64.5,100
"206",2024-09-07,62.1,99.8
"206",2024-09-08,59.2,104.7
"206",2024-09-09,61.7,102
"206",2024-09-10,57.7,86.3
"206",2024-09-11,53.3,84.5
"206",2024-09-12,57.2,83.8
"206",2024-09-13,53,90
"206",2024-09-14,55.2,91.3
"206",2024-09-15,54.6,82.6
"206",2024-09-16,51.6,72.1
"206",2024-09-17,49.9,78.4
"206",2024-09-18,55.8,76.1
"206",2024-09-19,56.7,82.8
"206",2024-09-20,55.4,84.4
"206",2024-09-21,56.2,89.5
"206",2024-09-22,57,89.4
"206",2024-09-23,56,93.8
"206",2024-09-24,58.9,100
"206",2024-09-25,58.3,85.7
"206",2024-09-26,54.3,85.5
"206",2024-09-27,52.1,90.9
"206",2024-09-28,52.5,90.8
"206",2024-09-29,54.7,84.8
"206",2024-09-30,54.2,90
"206",2024-10-01,54.3,95.1
"206",2024-10-02,58.1,98.1
"206",2024-10-03,60.2,99.6
"206",2024-10-04,60.3,98.2
"206",2024-10-05,66.7,94.5
"206",2024-10-06,58,96
"206",2024-10-07,58.9,95.5
"206",2024-10-08,63.4,94.2
"206",2024-10-09,56.1,87.8
"206",2024-10-10,54.7,82.9
"206",2024-10-11,49.7,87.6
"206",2024-10-12,53.3,81
"206",2024-10-13,59,81
"206",2024-10-14,56.4,82.5
"206",2024-10-15,55.8,83.4
"206",2024-10-16,55.5,72.7
"206",2024-10-17,52.6,73.8
"206",2024-10-18,47.6,74.3
"206",2024-10-19,40.8,76.5
"206",2024-10-20,41.9,86.8
"206",2024-10-21,43.3,80.6
"206",2024-10-22,46.7,78.4
"206",2024-10-23,45,79.3
"206",2024-10-24,46.9,73.9
"206",2024-10-25,42.7,76.5
"206",2024-10-26,41.4,77.5
"206",2024-10-27,52.7,77.1
"206",2024-10-28,45.6,68.2
"206",2024-10-29,41.4,67.1
"206",2024-10-30,36.1,69.4
"206",2024-10-31,46,64.9
"206",2024-11-01,41.8,67.9
"206",2024-11-02,49.7,64.9
"206",2024-11-03,45.4,68
"206",2024-11-04,39.9,67.4
"206",2024-11-05,40.5,67.2
"206",2024-11-06,41.1,68.3
"206",2024-11-07,36.1,71.6
"206",2024-11-08,37.1,72.2
"206",2024-11-09,37.3,70.9
"206",2024-11-10,34.9,73.8
"206",2024-11-11,36.1,63.3
"206",2024-11-12,35,61.1
"206",2024-11-13,39.1,61.4
"206",2024-11-14,39.5,64.5
"206",2024-11-15,39.5,57.9
"206",2024-11-16,31.4,57.5
"206",2024-11-17,31.2,61.4
"206",2024-11-18,35.3,58.7
"206",2024-11-19,32.6,56.3
"206",2024-11-20,43.4,65.8
"206",2024-11-21,54.3,72.6
"206",2024-11-22,53,62.8
"206",2024-11-23,48.6,65.1
"206",2024-11-24,39.6,62.9
"206",2024-11-25,45.3,60.4
"206",2024-11-26,45.7,58.7
"206",2024-11-27,35.7,56.6
"206",2024-11-28,33.2,59.7
"206",2024-11-29,32.5,52.8
"206",2024-11-30,32.8,46
"206",2024-12-01,43.1,60.2
"206",2024-12-02,37.4,64.1
"206",2024-12-03,38.1,65.1
"206",2024-12-04,37.1,64.9
"206",2024-12-05,39.2,64.5
"206",2024-12-06,37.2,64.3
"206",2024-12-07,36.6,62.7
"206",2024-12-08,39.1,64
"206",2024-12-09,36.3,50.7
"206",2024-12-10,36.1,55.1
"206",2024-12-11,30.9,56.6
"206",2024-12-12,44.7,55.9
"206",2024-12-13,46.3,56.1
"206",2024-12-14,40.3,60.3
"206",2024-12-15,35.7,57.9
"206",2024-12-16,39.8,51.4
"206",2024-12-17,43.1,49.9
"206",2024-12-18,47.7,50.5
"206",2024-12-19,43.5,51.8
"206",2024-12-20,46,52.6
"206",2024-12-21,44.8,53.5
"206",2024-12-22,50.4,65.3
"206",2024-12-23,49.9,66.4
"206",2024-12-24,41.6,58
"206",2024-12-25,37.9,55.2
"206",2024-12-26,45.4,55.7
"206",2024-12-27,47.5,60.9
"206",2024-12-28,47.1,65.6
"206",2024-12-29,42,61.8
"206",2024-12-30,38.6,56.9
"206",2024-12-31,31.7,58.1
"206",2025-01-01,34.4,57.7
"206",2025-01-02,36.7,59.6
"206",2025-01-03,40.3,55.1
"206",2025-01-04,34.7,56.4
"206",2025-01-05,33.8,58.1
"206",2025-01-06,33.9,58
"206",2025-01-07,38.5,65.4
"206",2025-01-08,34,61.6
"206",2025-01-09,31.6,59.7
"206",2025-01-10,34.7,64.9
"206",2025-01-11,37,61.9
"206",2025-01-12,29.4,55.9
"206",2025-01-13,29,58.7
"206",2025-01-14,31,61.9
"206",2025-01-15,29.6,64.3
"206",2025-01-16,29.5,62.9
"206",2025-01-17,30.4,61.9
"206",2025-01-18,32.2,59.8
"206",2025-01-19,28.8,58.3
"206",2025-01-20,30,56.9
"206",2025-01-21,28.2,61.9
"206",2025-01-22,28.4,62.5
"206",2025-01-23,29.5,65.3
"206",2025-01-24,31,63.3
"206",2025-01-25,32.3,54.4
"206",2025-01-26,32.1,55.1
"206",2025-01-27,27.7,54.6
"206",2025-01-28,28.7,59
"206",2025-01-29,28.2,59.3
"206",2025-01-30,31.6,59.3
"206",2025-01-31,36.3,52.7
"206",2025-02-01,48.4,57.8
"206",2025-02-02,52.7,66
"206",2025-02-03,47.6,63.5
"206",2025-02-04,47.8,63
"206",2025-02-05,34.4,56.4
"206",2025-02-06,35.7,60.2
"206",2025-02-07,38.9,58.5
"206",2025-02-08,37.1,56.4
"206",2025-02-09,30.4,55.6
"206",2025-02-10,27.6,56.3
"206",2025-02-11,44.8,59.7
"206",2025-02-12,35.8,55.2
"206",2025-02-13,48.3,63.4
"206",2025-02-14,39.8,59
"206",2025-02-15,34.3,58.6
"206",2025-02-16,39.6,61
"206",2025-02-17,37.5,60.5
"206",2025-02-18,38.5,63.1
"206",2025-02-19,44.5,64.8
"206",2025-02-20,44.8,63.9
"206",2025-02-21,38.5,68.9
"206",2025-02-22,37.9,71.6
"206",2025-02-23,45.5,70.7
"206",2025-02-24,45.5,66.4
"206",2025-02-25,43.3,66.6
"206",2025-02-26,36.5,72.6
"206",2025-02-27,37.5,71.5
"206",2025-02-28,40.8,75.5
"206",2025-03-01,40.7,70
"206",2025-03-02,42.4,56.1
"206",2025-03-03,34.2,59.9
"206",2025-03-04,36.9,63.1
"206",2025-03-05,38.8,52.7
"206",2025-03-06,39.7,57.5
"206",2025-03-07,33,63.7
"206",2025-03-08,33,65.6
"206",2025-03-09,35.7,72.3
"206",2025-03-10,39.7,70
"206",2025-03-11,39.6,70.5
"206",2025-03-12,45.6,63
"206",2025-03-13,39.3,56.8
"206",2025-03-14,41.2,50.1
"206",2025-03-15,38.1,61.9
"206",2025-03-16,37.1,64.1
"206",2025-03-17,46.1,58.1
"206",2025-03-18,37.4,60.2
"206",2025-03-19,31.8,62.4
"206",2025-03-20,41.6,62.8
"206",2025-03-21,39.1,66.5
"206",2025-03-22,43.9,65.5
